frame_idx,timestamp_sec,track_id,x1,y1,x2,y2,center_x,center_y,confidence
11,0.36666666666666664,1,630,95,657,170,643,132,0.3657503128051758
12,0.4,1,629,95,657,170,643,132,0.37008941173553467
13,0.43333333333333335,1,629,95,657,170,643,132,0.37946730852127075
25,0.8333333333333334,2,525,144,549,187,537,165,0.34059441089630127
26,0.8666666666666667,2,525,143,549,187,537,165,0.31351229548454285
27,0.9,2,526,144,549,187,537,165,0.3160378932952881
28,0.9333333333333333,2,523,145,547,188,535,166,0.3335660398006439
29,0.9666666666666667,2,522,147,543,192,532,169,0.4701124131679535
30,1.0,2,522,149,541,193,531,171,0.594865620136261
31,1.0333333333333334,2,522,149,542,192,532,170,0.5858358144760132
32,1.0666666666666667,2,518,148,540,199,529,173,0.46706390380859375
33,1.1,2,518,148,540,199,529,173,0.4420419931411743
34,1.1333333333333333,2,516,149,538,204,527,176,0.4008789360523224
35,1.1666666666666667,2,515,157,539,204,527,180,0.47428473830223083
36,1.2,2,505,156,531,213,518,184,0.547128438949585
37,1.2333333333333334,2,504,154,531,212,517,183,0.574155867099762
37,1.2333333333333334,3,635,149,662,219,648,184,0.3682449758052826
38,1.2666666666666666,3,635,154,661,222,648,188,0.6163442730903625
38,1.2666666666666666,2,501,155,529,215,515,185,0.5928032994270325
39,1.3,2,499,159,527,218,513,188,0.630846381187439
39,1.3,3,634,156,660,224,647,190,0.6039688587188721
40,1.3333333333333333,2,500,159,527,218,513,188,0.6246439814567566
40,1.3333333333333333,3,634,156,660,224,647,190,0.6114957928657532
40,1.3333333333333333,4,608,139,632,204,620,171,0.34287458658218384
41,1.3666666666666667,2,494,170,521,227,507,198,0.5732715725898743
41,1.3666666666666667,3,634,155,660,230,647,192,0.39150333404541016
42,1.4,2,489,172,516,237,502,204,0.6261022686958313
42,1.4,3,636,164,661,241,648,202,0.3188840448856354
43,1.4333333333333333,2,488,172,516,237,502,204,0.628565788269043
43,1.4333333333333333,3,636,163,661,241,648,202,0.3294428288936615
44,1.4666666666666666,2,488,172,516,237,502,204,0.6297470331192017
44,1.4666666666666666,3,636,163,661,241,648,202,0.33283182978630066
45,1.5,2,486,171,512,240,499,205,0.6762144565582275
45,1.5,3,632,161,664,243,648,202,0.3214260935783386
46,1.5333333333333334,2,483,176,512,243,497,209,0.6279129385948181
46,1.5333333333333334,3,628,169,666,246,647,207,0.36746713519096375
47,1.5666666666666667,2,479,181,507,251,493,216,0.50800621509552
47,1.5666666666666667,5,601,123,633,231,617,177,0.3439383804798126
47,1.5666666666666667,3,631,175,666,250,648,212,0.25954538583755493
48,1.6,2,474,186,503,256,488,221,0.5731319785118103
48,1.6,3,629,171,663,253,646,212,0.40169084072113037
48,1.6,5,602,128,630,233,616,180,0.35625937581062317
49,1.6333333333333333,2,473,187,503,256,488,221,0.5547385215759277
49,1.6333333333333333,3,629,171,663,253,646,212,0.41446200013160706
49,1.6333333333333333,5,602,130,630,233,616,181,0.3565528690814972
50,1.6666666666666667,2,467,197,496,263,481,230,0.5968813300132751
50,1.6666666666666667,5,601,142,629,237,615,189,0.4935884177684784
50,1.6666666666666667,3,626,165,665,262,645,213,0.4552556872367859
51,1.7,2,468,197,496,263,482,230,0.5944061279296875
51,1.7,5,601,142,629,237,615,189,0.4993472397327423
51,1.7,3,626,165,665,262,645,213,0.4547140300273895
52,1.7333333333333334,3,621,153,667,279,644,216,0.5640445351600647
52,1.7333333333333334,5,599,141,629,247,614,194,0.5638018846511841
52,1.7333333333333334,2,457,204,490,261,473,232,0.43956106901168823
53,1.7666666666666666,3,618,181,667,280,642,230,0.4448375701904297
53,1.7666666666666666,2,453,208,489,279,471,243,0.4438174068927765
53,1.7666666666666666,5,597,143,630,247,613,195,0.27481958270072937
54,1.8,3,618,187,667,281,642,234,0.4421003460884094
54,1.8,2,452,208,489,270,470,239,0.32904621958732605
55,1.8333333333333333,3,618,187,667,281,642,234,0.43328312039375305
55,1.8333333333333333,2,452,208,489,270,470,239,0.3254908621311188
56,1.8666666666666667,3,621,173,663,284,642,228,0.509213387966156
56,1.8666666666666667,2,447,214,489,277,468,245,0.3247433602809906
57,1.9,3,621,174,663,283,642,228,0.5061122179031372
57,1.9,2,447,215,488,277,467,246,0.32066085934638977
58,1.9333333333333333,3,617,194,662,289,639,241,0.4690965712070465
58,1.9333333333333333,5,595,158,628,252,611,205,0.3610100746154785
58,1.9333333333333333,2,442,218,478,286,460,252,0.35147660970687866
60,2.0,6,429,234,460,299,444,266,0.3610110282897949
61,2.033333333333333,6,429,234,459,298,444,266,0.37190714478492737
61,2.033333333333333,3,619,210,659,305,639,257,0.3081865608692169
62,2.066666666666667,6,422,240,460,315,441,277,0.5150982141494751
62,2.066666666666667,3,616,212,652,306,634,259,0.45075035095214844
62,2.066666666666667,5,594,188,626,284,610,236,0.4190504550933838
63,2.1,6,423,239,460,313,441,276,0.5076063275337219
63,2.1,3,616,212,652,307,634,259,0.44451528787612915
63,2.1,5,594,189,626,283,610,236,0.4121134877204895
64,2.1333333333333333,6,411,244,458,332,434,288,0.42318955063819885
64,2.1333333333333333,3,616,222,652,322,634,272,0.31143996119499207
65,2.1666666666666665,6,409,254,437,335,423,294,0.4420117139816284
66,2.2,6,402,256,437,345,419,300,0.5803971886634827
67,2.2333333333333334,6,402,256,437,345,419,300,0.580722451210022
70,2.3333333333333335,6,387,265,424,349,405,307,0.49269595742225647
70,2.3333333333333335,3,611,244,657,343,634,293,0.3065185248851776
71,2.3666666666666667,6,373,274,415,355,394,314,0.5302844047546387
71,2.3666666666666667,3,605,252,657,361,631,306,0.44458335638046265
81,2.7,7,584,316,629,438,606,377,0.5606111288070679
82,2.7333333333333334,7,582,327,632,455,607,391,0.6855854392051697
83,2.7666666666666666,7,582,325,632,453,607,389,0.6886796951293945
83,2.7666666666666666,8,315,349,349,457,332,403,0.5025714635848999
84,2.8,7,573,341,637,459,605,400,0.44752851128578186
84,2.8,5,576,267,620,356,598,311,0.37442904710769653
85,2.8333333333333335,9,574,341,642,509,608,425,0.5478024482727051
85,2.8333333333333335,10,299,376,339,497,319,436,0.42730391025543213
85,2.8333333333333335,7,573,341,637,460,605,400,0.42640531063079834
85,2.8333333333333335,5,576,267,620,355,598,311,0.39197948575019836
86,2.8666666666666667,9,573,342,641,507,607,424,0.561428964138031
86,2.8666666666666667,10,299,376,339,494,319,435,0.41473591327667236
86,2.8666666666666667,7,573,341,637,458,605,399,0.39191895723342896
86,2.8666666666666667,5,576,267,620,356,598,311,0.3863392174243927
87,2.9,9,569,359,647,543,608,451,0.5901739001274109
87,2.9,5,573,267,614,373,593,320,0.5299708247184753
88,2.933333333333333,9,566,369,644,556,605,462,0.48123225569725037
88,2.933333333333333,5,573,256,615,386,594,321,0.35085225105285645
89,2.966666666666667,9,566,368,644,557,605,462,0.5151362419128418
89,2.966666666666667,5,573,253,615,386,594,319,0.31272536516189575
95,3.1666666666666665,5,560,262,611,449,585,355,0.32479551434516907
110,3.6666666666666665,14,595,254,632,358,613,306,0.5780497789382935
110,3.6666666666666665,15,414,215,442,284,428,249,0.4019884169101715
111,3.7,14,595,254,632,358,613,306,0.569462776184082
111,3.7,15,414,215,442,284,428,249,0.4018138349056244
