frame_idx,timestamp_sec,track_id,x1,y1,x2,y2,center_x,center_y,confidence
0,0.0,1,98,350,157,521,127,435,0.8587232232093811
0,0.0,2,0,351,39,519,19,435,0.6121717691421509
0,0.0,3,338,358,364,436,351,397,0.6020062565803528
0,0.0,4,165,362,233,509,199,435,0.42921996116638184
1,0.016758156966490297,1,98,350,157,522,127,436,0.8653497695922852
1,0.016758156966490297,2,0,351,36,519,18,435,0.5963218808174133
1,0.016758156966490297,3,338,358,364,436,351,397,0.5949184894561768
1,0.016758156966490297,4,166,363,230,509,198,436,0.42923542857170105
2,0.033516313932980595,1,99,350,156,522,127,436,0.8703312873840332
2,0.033516313932980595,2,0,351,36,519,18,435,0.5882728099822998
2,0.033516313932980595,3,338,357,365,436,351,396,0.570751965045929
2,0.033516313932980595,4,166,362,234,509,200,435,0.4116675853729248
3,0.050274470899470895,1,99,349,157,522,128,435,0.8712599277496338
3,0.050274470899470895,2,0,351,37,520,18,435,0.606794536113739
3,0.050274470899470895,3,338,357,365,436,351,396,0.5376831889152527
3,0.050274470899470895,4,168,365,236,510,202,437,0.3608641028404236
4,0.06703262786596119,1,101,350,157,522,129,436,0.857014536857605
4,0.06703262786596119,2,0,350,39,521,19,435,0.6326131820678711
4,0.06703262786596119,4,169,363,237,512,203,437,0.43222302198410034
4,0.06703262786596119,3,338,358,366,441,352,399,0.40026941895484924
5,0.08379078483245149,1,102,353,157,523,129,438,0.8434025049209595
5,0.08379078483245149,2,0,350,41,521,20,435,0.6135957837104797
5,0.08379078483245149,4,170,406,236,513,203,459,0.48482903838157654
5,0.08379078483245149,3,338,358,366,475,352,416,0.45921504497528076
5,0.08379078483245149,5,41,354,94,490,67,422,0.3998505473136902
5,0.08379078483245149,6,230,371,261,499,245,435,0.34620678424835205
6,0.10054894179894179,1,104,352,157,523,130,437,0.8412092924118042
6,0.10054894179894179,2,0,351,41,521,20,436,0.6245077252388
6,0.10054894179894179,4,171,402,238,513,204,457,0.5644756555557251
6,0.10054894179894179,3,338,359,367,476,352,417,0.458225816488266
6,0.10054894179894179,5,42,356,94,489,68,422,0.4012305736541748
6,0.10054894179894179,6,231,371,261,500,246,435,0.3151353895664215
7,0.11730709876543209,1,104,353,157,524,130,438,0.8395716547966003
7,0.11730709876543209,2,0,350,42,522,21,436,0.6204418540000916
7,0.11730709876543209,4,172,405,240,514,206,459,0.4315783679485321
7,0.11730709876543209,3,338,359,367,476,352,417,0.4142935872077942
7,0.11730709876543209,8,338,359,368,440,353,399,0.39615824818611145
7,0.11730709876543209,5,42,357,92,489,67,423,0.38160794973373413
7,0.11730709876543209,6,231,371,263,499,247,435,0.2974734604358673
8,0.13406525573192238,1,104,353,157,523,130,438,0.8391193151473999
